dalid	eloadoid	cim	megjelenes
258	93	I Want To Live	1969
259	93	It's Five O' Clock	1970
260	93	Rain And Tears	1968
261	94	Everything Now	2017
262	94	Reflektor	2013
263	94	We Used To Wait	2010
264	95	Do I Wanna Know?	2013
265	95	Fluorescent Adolescent	2007
266	95	I BET YOU LOOK GOOD ON THE DANCEFLOOR	2005
267	95	When The Sun Goes Down	2006
268	95	Why'd You Only Call Me When You're High?	2013
269	96	(You Make Me Feel Like) A Natural Woman	1967
270	96	I Say A Little Prayer	1968
271	96	Respect	1967
272	96	Spanish Harlem	1971
273	96	Think	1980
274	97	Hold Your Head Up	1972
275	98	Leonie	1976
276	99	City Of New Orleans	1972
277	100	Ben Ik Te Min	1967
278	100	Blommenkinders	1967
279	101	Heading Up High	2015
280	102	This Is What It Feels Like	2013
281	103	Sunny Days	2017
282	104	Meisjes Met Rode Haren	1972
283	105	Bright Eyes	1979
284	106	Et Si Tu Pars	1977
285	107	Fire	1968
286	108	Sweet Soul Music	1967
287	109	Solid	1985
288	110	Breakfast	1985
289	111	Ik Doe Wat Ik Doe	1973
290	112	The Girl From Ipanema	1964
291	113	Whole Again	2001
292	114	Pick Up The Pieces	1975
293	115	Addicted To You	2014
294	115	Hey Brother	2013
295	115	Levels	2011
296	116	Wake Me Up	2013
297	117	The Days	2014
298	118	Ela Ela	1972
299	118	Someone	1972
300	119	Sun Is Shining	2015
301	120	Ain't Nobody Home	1971
302	120	The Thrill Is Gone	1969
303	121	Yes Sir, I Can Boogie	1977
304	122	Looking Out For Number One	1976
305	122	You Ain't Seen Nothing Yet	1974
306	123	As Long As You Love Me	1997
307	123	Everybody	1997
308	123	I Want It That Way	1999
309	123	Quit Playing Games	1996
310	124	Can't Get Enough	1974
311	124	Feel Like Making Love	1975
312	125	Time Stood Still	1991
313	126	Robert De Niro Is Waiting	1984
314	126	Venus	1986
315	127	Do They Know It's Christmas?	1984
316	128	Eternal Flame	1989
317	128	Hazy Shade Of Winter	1988
318	128	Manic Monday	1986
319	128	Walk Like An Egyptian	1986
320	129	Kristallnaach	1983
321	130	Soulfinger	1967
322	131	Evergreen	1977
323	131	Guilty	1980
324	131	Memory	1982
325	131	Papa Can You Hear Me?	1983
326	131	Second Hand Rose	1966
327	131	Tell Him	1997
328	131	The Way We Were	1973
329	131	Woman In Love	1980
330	132	You Don't Bring Me Flowers	1978
331	133	Titles	1976
332	134	If You Go	1975
333	135	Can't Smile Without You	1978
334	135	Copacabana	1978
335	135	Mandy	1974
336	136	Eve Of Destruction	1965
337	137	Eloise	1968
338	138	Can't Get Enough Of Your Love, Babe	1974
339	138	Let The Music Play	1976
340	138	Never, Never Gonna Give You Up	1974
341	138	You're The First The Last My Everything	1974
342	139	Good Grief	2016
343	139	Pompeii	2013
344	139	Things We Lost In The Fire	2013
345	139	World Gone Mad	2017
346	140	Everybody's Free (To Wear Sunscreen)	1999
347	141	Fight For Your Right (To Party)	1986
348	141	Intergalactic	1998
349	141	No Sleep Till Brooklyn	1987
350	141	Sabotage	1994
351	142	Loser	1994
352	143	Don't Forget To Remember	1969
353	143	Holiday	1967
354	143	How Can You Mend A Broken Heart	1971
355	143	How Deep Is Your Love	1977
356	143	I've Gotta Get A Message To You	1968
357	143	I Started A Joke	1969
358	143	Jive Talkin'	1975
359	143	Lonely Days	1970
360	143	Massachusetts	1967
361	143	More Than A Woman	1977
362	143	My World	1972
363	143	New York Mining Disaster 1941	1967
364	143	Night Fever	1978
365	143	Nights On Broadway	1975
366	143	Spicks And Specks	1967
367	143	Spirits Having Flown	1979
368	143	Stayin' Alive	1978
369	143	To Love Somebody	1967
370	143	Too Much Heaven	1978
371	143	Tragedy	1979
372	143	Words	1968
373	143	World	1967
374	143	You Should Be Dancing	1976
375	143	You Win Again	1987
376	144	Circle In The Sand	1988
377	144	Heaven Is A Place On Earth	1988
378	145	De Clown	1971
379	146	Stand By Me	1987
380	147	Keep Your Head Up	2011
381	147	The Fear	2012
382	148	Kill For A Broken Heart	2011
383	149	Ik Weet Niet Hoe	1980
384	149	Waarom Fluister Ik Je Naam Nog	1985
385	150	Take My Breath Away	1986
386	151	Afrikaan Beat	1962
387	152	Another Day	2008
388	152	Mary	2012
389	153	L.A. Song	1999
390	153	Leave The Light On	2004
391	154	Why Don't You Do Right?	2018
392	155	Beast Of Burden	1984
393	155	From A Distance	1991
394	155	The Rose	1980
395	155	To Deserve You	1996
396	155	Wind Beneath My Wings	1980
397	156	Promise Me	1990
398	157	Halo	2009
399	157	If I Were A Boy	2008
400	157	Listen	2007
401	157	Love On Top	2011
402	157	Run The World (Girls)	2011
403	157	Single Ladies (put a ring on it)	2008
404	158	Crazy In Love	2002
405	159	If I Stay Too Long	1969
406	160	Hold On To What You've Got	1971
407	161	Rock Around The Clock	1955
408	161	See You Later Alligator	1956
409	162	(I've Had) The Time Of My Life	1987
410	163	Ain't No Sunshine	1971
411	163	Lovely Day	1978
412	164	Bad Guy	2019
413	165	Strange Fruit	1939
414	165	Summertime	1936
415	166	Eyes Without A Face	1984
416	166	White Wedding	1982
417	167	Bad To Me	1963
418	167	Little Children	1964
419	168	Blanket On The Ground	1975
420	169	Hush	1968
421	170	Goodnight Saigon	1983
422	170	Honesty	1978
423	170	James	1976
424	170	Just The Way You Are	1977
425	170	Leningrad	1989
426	170	My Life	1979
427	170	New York State Of Mind	1976
428	170	Piano Man	1974
429	170	Scenes From An Italian Restaurant	1977
430	170	She's Always A Woman	1978
431	170	The Longest Time	1984
432	170	Uptown Girl	1983
433	170	We didn't start the fire	1989
434	171	Love Really Hurts Without You	1976
435	171	Loverboy	1985
436	171	Red Light Spells Danger	1977
437	171	Suddenly	1985
438	171	When The Going Gets Tough, The Tough Get Going	1986
439	172	Me and Mrs. Jones	1973
440	173	It Will Come In Time	1980
441	173	That's The Way God Planned It	1969
442	173	With You I'm Born Again	1980
443	174	Summertime	1966
444	175	I Can Help	1974
445	176	Sail Along Silvery Moon	1958
446	176	Wheels	1961
447	177	White Christmas	1954
448	178	True Love	1957
449	179	Traveling In The USA	1970
450	180	People Help The People	2011
451	180	Skinny Love	2011
452	181	Raindrops Keep Falling On My Head	1970
453	182	Human Behaviour	1993
454	182	It's Oh So Quiet	1995
455	183	Wonderful Life	1987
456	184	Paranoid	1970
457	185	No Diggity	1996
458	186	Promises Of No Man's Land	2014
459	187	Well Allright	1969
460	188	No Rain	1993
461	189	All The Small Things	1999
462	190	Even Aan M'n Moeder Vragen	1980
463	195	Denis	1978
464	195	Hanging On The Telephone	1979
465	195	Heart Of Glass	1979
466	195	I'm Gonna Love You Too	1978
467	195	The Tide Is High	1980
468	196	Spinning Wheel	1969
469	196	You've Made Me So Very Happy	1969
470	197	Summertime Blues	1968
471	198	Ramona	1960
472	199	Smoke Gets In Your Eyes	1972
473	200	Good Morning Freedom	1970
474	200	Melting Pot	1970
475	200	The Banner Man	1971
476	201	(Don't Fear) The Reaper	1976
477	202	Song 2	1997
478	191	Aan De Kust	1999
479	191	Aanzoek Zonder Ringen	2006
480	191	Alles Is Liefde	2007
481	191	Beter	2011
482	191	Blauwe Ruis	2002
483	191	Dansen Aan Zee	2000
484	191	Dichterbij Dan Ooit	2001
485	191	Een Manier Om Thuis Te Komen	2006
486	191	Harder Dan Ik Hebben Kan	1999
487	191	Hemingway	2007
488	191	Hier	2000
489	191	Hou Vol Hou Vast	2011
490	191	Later Als Ik Groter Ben	2012
491	191	Liefs Uit Londen	1998
492	191	Meer Kan Het Niet Zijn	2011
493	191	Mooie Dag	2002
494	191	Oktober	2008
495	191	Omarm	2003
496	191	Wat Zou Je Doen	1998
497	191	Zaterdag	1999
498	191	Zo Stil	2012
499	192	Zoutelande	2017
500	193	Mannenharten	2013
501	194	Open Je Ogen	2014
502	203	Harlem Shuffle	1969
503	204	Butterfly Kisses	1997
504	205	Blowin' In The Wind	1963
505	205	Don't Think Twice It's All Right	1963
506	205	Hurricane	1975
507	205	I Threw It All Away	1969
508	205	I Want You	1966
509	205	I'll Be Your Baby Tonight	1967
510	205	Just Like A Woman	1966
511	205	Knockin' On Heaven's Door	1973
512	205	Lay Lady Lay	1969
513	205	Like A Rolling Stone	1965
514	205	Rainy Day Women # 12 & 35	1966
515	205	Subterranean Homesick Blues	1965
516	205	The Times They Are A-Changin'	1964
517	206	Buffalo Soldier	1983
518	206	Could You Be Loved	1980
519	206	Get Up Stand Up	1973
520	206	Is This Love	1979
521	206	Jamming	1977
522	206	No Woman No Cry	1975
523	206	One Love - People Get Ready	1984
524	206	Redemption Song	1980
525	206	Stir It Up	1979
526	206	Three Little Birds	1977
527	207	Mexico	1961
528	208	Mainstreet	1977
529	208	Still The Same	1978
530	209	Against The Wind	1980
531	210	Ode To Billie Joe	1967
532	211	My Prerogative	1989
533	212	Honey	1968
534	213	Don't Worry Be Happy	1988
535	214	Loop De Loop	1963
536	215	Hurt	1973
537	215	Roses Are Red	1962
538	215	Sealed With A Kiss	1972
539	216	Frank Mills	1969
540	217	You're In The Army Now	1981
541	218	Freestyler	2000
542	219	(You Want To) Make A Memory	2007
543	219	Always	1994
544	219	Bed Of Roses	1993
545	219	In These Arms	1993
546	219	It's My Life	2000
547	219	Keep The Faith	1992
548	219	Livin' On A Prayer	1986
549	219	Wanted Dead Or Alive	1987
550	219	You Give Love A Bad Name	1986
551	220	Daddy Cool	1976
552	220	Ma Baker	1977
553	220	Rasputin	1978
554	220	Rivers Of Babylon	1978
555	220	Sunny	1977
556	221	I Can't Make You Love Me	1991
557	222	I Won't Stand Between Them	1970
558	223	It's A Heartache	1978
559	223	Lost In France	1977
560	223	Total Eclipse Of The Heart	1983
561	224	Green Onions	1962
562	224	Time Is Tight	1969
563	225	I Want To Wake Up With You	1986
564	226	Amanda	1986
565	226	Don't Look Back	1978
566	226	More Than A Feeling	1977
567	227	Zeven Dagen Lang	1976
568	228	Als De Rook Om Je Hoofd Is Verdwenen	1972
569	228	Avond	1997
570	228	De Nachtwacht	1970
571	228	De Vondeling Van Ameland	2004
572	228	Een Tip Van De Sluier	1980
573	228	Een Wonderkind Van 50	1996
574	228	Een Meisje Van 16	1965
575	228	Het Land Van Maas En Waal	1967
576	228	Ik Ben Ik	1974
577	228	Jimmy	1973
578	228	Kinderballade	1977
579	228	Picknick	1967
580	228	Prikkebeen	1968
581	228	Tante Julia	1974
582	228	Testament	1967
583	228	Verdronken Vlinder	1966
584	228	Welterusten Mijnheer De President	1966
585	229	Can't Take My Eyes Off Of You	1982
586	230	No Matter What	1998
587	231	Lido Shuffle	1977
588	231	Lowdown	1977
589	231	What Can I Say	1977
590	233	Down Man	1969
591	233	Smile	1970
592	233	Summertime	1969
593	234	Sarah Smiles	1978
594	235	De Wedstrijd	1991
595	236	Baby I'm A Want You	1971
596	236	Everything I Own	1972
597	236	If	1971
598	236	Lost Without Your Love	1977
599	236	The Guitar Man	1972
600	237	I'm Sorry	1960
601	238	Ginny Come Lately	1962
602	238	Itsy Bitsy...	1960
603	238	Sealed With A Kiss	1962
604	239	Too Much Love Will Kill You	1992
605	240	The Floral Dance	1978
606	241	Duet	1990
607	242	Baby One More Time	1999
608	243	Smalltown Boy	1984
609	243	Why?	1984
610	244	Something In The Water	2011
611	245	Save Your Kisses	1976
612	246	The Way It Is	1986
613	247	Badlands	1978
614	247	Born In The USA	1985
615	247	Born To Run	1975
616	247	Brilliant Disguise	1987
617	247	Dancing In The Dark	1985
618	247	Fire (Live)	1986
619	247	Glory Days	1985
620	247	Human Touch	1992
621	247	Hungry Heart	1980
622	247	I'm On Fire	1985
623	247	Jungleland	1975
624	247	Meeting Across The River	1975
625	247	My Hometown	1986
626	247	No Surrender	1984
627	247	Secret Garden	1995
628	247	Streets Of Philadelphia	1994
629	247	The Rising	2002
630	247	The River	1981
631	247	Thunder Road	1975
632	247	Tougher Than The Rest	1987
633	247	Trapped (Live)	1985
634	247	Waitin' On A Sunny Day	2003
635	247	War	1980
636	247	We Take Care Of Our Own	2012
637	247	Working On A Dream	2008
638	248	24k Magic	2016
639	248	Grenade	2010
640	248	Just The Way You Are	2010
641	248	Locked Out of Heaven	2012
642	248	Marry You	2011
643	248	The Lazy Song	2011
644	248	Treasure	2013
645	248	When I Was Your Man	2013
646	249	(Everything I Do) I Do It For You	1991
647	249	Have You Ever Really Loved A Woman	1995
648	249	Heaven	1985
649	249	Please Forgive Me	1993
650	249	Run To You	1985
651	249	Summer Of '69	1990
652	250	I Finally Found Someone	1997
653	251	When You're Gone	1998
654	252	It's Only Love	1985
655	253	All For Love	1994
656	254	Let's Stick Together	1976
657	255	Making Your Mind Up	1981
658	256	Another Day	1997
659	257	Because I Love You	1956
660	257	Peggy Sue	1957
661	257	That'll Be The Day	1957
662	257	Well Alright	1958
663	258	Chan Chan	1997
664	259	Expecting To Fly	1968
665	259	For What It's Worth	1967
666	260	It's The End	1968
667	260	Tomorrow Is Another Day	1967
668	261	Video Killed The Radio Star	1979
669	262	GLYCERINE	1994
670	263	Just An Illusion	1983
671	263	Mon Amour	1976
672	263	Pearly Dumm	1980
673	263	Sweet Silver Anny	1973
674	232	Iederene Hef Een Reden	2016
675	264	C'est Moi	1974
676	265	Dancing On My Own	2016
677	266	Summer	2014
678	267	One Kiss	2018
679	268	Havana	2017
680	269	Who Do You Think You Are	1974
681	270	Lily Was Here	1989
682	271	On The Road Again	1968
683	272	Do That To Me One More Time	1980
684	273	Adios Nonino	2002
685	274	Kung Fu Fighting	1974
686	275	Call Me Maybe	2012
687	276	Coming Around Again	1987
688	276	It's Hard To Be Tender	1989
689	276	You're So Vain	1973
690	277	A Night Like This	2009
691	277	Back It Up	2009
692	277	Liquid Lunch	2013
693	277	Riviera Life	2011
694	277	Stuck	2010
695	277	Tangled Up	2013
696	277	That Man	2010
697	278	It's Too Late	1971
698	278	You've Got A Friend	1971
699	279	(They Long To Be) Close To You	1970
700	279	I Won't Last A Day Without You	1974
701	279	Jambalaya	1974
702	279	Top Of The World	1973
703	279	Yesterday Once More	1973
704	280	Love's What I Want	1979
705	281	Banapple Gas	1976
706	281	Lady d'Arbanville	1970
707	281	Matthew And Son	1967
708	281	Morning Has Broken	1972
709	282	Father And Son	1971
710	283	Un Deux Trois	1976
711	284	Teach Me How To Dance With You	2014
712	285	Because You Loved Me	1996
713	285	I'm Alive	2002
714	285	Immortality	1998
715	285	My Heart Will Go On	1998
716	285	Pour Que Tu M'Aimes Encore	1995
717	285	The Power Of Love	1994
718	285	Think Twice	1995
719	286	I'm Every Woman	1979
720	287	How 'Bout Us	1981
721	288	I've Never Been To Me	1982
722	289	Would I Lie To You	1992
723	290	For Me Formidable	1963
724	290	La Mamma	1964
725	290	She	1974
726	290	The Old Fashioned Way	1973
727	290	Yesterday When I Was Young	1970
728	291	La Mer	1952
729	292	The Devil Went Down To Georgia	1979
730	293	The Most Beautiful Girl	1974
731	294	Wonderfull Days	1995
732	295	Ain't No Pleasing You	1982
733	296	I Want You To Want Me	1979
734	297	Amigo	2016
735	297	Birds	2011
736	297	In Your Arms	2014
737	297	Nicotine	2017
738	297	On Shoulders	2014
739	297	Try Again	2017
740	298	Believe	1998
741	298	Gypsies Tramps And Thieves	1971
742	298	If I Could Turn Back Time	1989
743	299	Go Like Elijah	1973
744	299	You Were My Friend	1973
745	300	Have You Seen Her	1971
746	301	Good Times	1979
747	301	Le Freak	1978
748	302	25 Or 6 To 4	1970
749	302	Baby What A Big Surprise	1977
750	302	Feeling Stronger Every Day	1973
751	302	Hard To Say I'm Sorry	1982
752	302	I'm A Man	1969
753	302	If You Leave Me Now	1976
754	302	Wishing You Were Here	1974
755	302	You're The Inspiration	1985
756	303	I'd Rather Go Blind	1969
757	304	Son Of My Father	1972
758	305	Wishful Thinking	1984
759	306	To Whom It Concerns	1965
760	306	Yesterday Man	1965
761	307	Ice Cream	1958
762	307	Petite Fleur	1959
763	308	The Head And The Heart	1984
764	308	The Lady In Red	1986
765	309	Out Of Time	1966
766	310	Blue Hotel	1987
767	310	Wicked Game	1991
768	311	Let's Dance	1963
769	312	Driving Home For Christmas	1986
770	312	Fool If You Think It's Over	1978
771	312	Josephine	1985
772	312	On The Beach	1986
773	313	Tennessee Whiskey	2015
774	314	Yellow River	1970
775	315	Beautiful	2003
776	315	Hurt	2006
777	316	Sailing	1981
778	317	Let's Twist Again	1962
779	317	Lovely Lovely	1965
780	317	The Twist	1962
781	318	Come On	1962
782	318	Johnny B. Goode	1958
783	318	No Particular Place To Go	1964
784	318	Roll Over Beethoven	1956
785	319	Anyone Who Had A Heart	1964
786	319	Love's Just a Broken Heart	1966
787	319	You're My World	1964
788	320	Monica	1987
789	321	Alegria	1997
790	322	The Road Ahead (Miles Of The Unknown)	1999
791	323	In A Lifetime	1986
792	323	Theme From Harry's game	1983
793	324	(I Don't Know Why I Love You) But I Do	1961
794	325	Mag Ik Dan Bij Jou	2011
795	326	Rosie	1992
796	327	Rather Be	2014
797	328	Bachelor Boy	1963
798	328	Congratulations	1968
799	328	Do You Wanna Dance	1962
800	328	Don't Talk To Him	1963
801	328	I Could Easily Fall (In Love With You)	1960
802	328	It'll Be Me	1962
803	328	Living Doll	1959
804	328	Lucky Lips	1963
805	328	Miss You Nights	1976
806	328	Move It	1958
807	328	Please Don't Tease	1960
808	328	Power To All Our Friends	1973
809	328	Some People	1987
810	328	Summer Holiday	1963
811	328	The Best Of Me	1989
812	328	The Day I Met Marie	1967
813	328	We Don't Talk Anymore	1979
814	329	The Young Ones	1962
815	330	Living Doll	1986
816	331	Anne	1989
817	331	Daar Gaat Ze	1990
818	331	Domino	1990
819	331	Passie	1995
820	332	Substitute	1978
821	333	Yakety Yak	1958
822	334	The Promise You Made	1986
823	334	Thought You Were On My Side	1986
824	335	Sebastian	1973
825	336	A Head Full Of Dreams	2016
826	336	Adventure Of A Lifetime	2015
827	336	Amsterdam	2002
828	336	Atlas	2013
829	336	Charlie Brown	2011
830	336	Christmas Lights	2010
831	336	Clocks	2003
832	336	Everglow	2015
833	336	Every Teardrop Is A Waterfall	2011
834	336	Fix You	2005
835	336	God Put A Smile Upon Your Face	2002
836	336	Green Eyes	2002
837	336	Hurts Like Heaven	2012
838	336	In My Place	2002
839	336	Life In Technicolor II	2009
840	336	Lost	2008
841	336	Lovers In Japan	2009
842	336	Magic	2014
843	336	Paradise	2011
844	336	Politik	2002
845	336	Speed Of Sound	2005
846	336	Talk	2005
847	336	The Hardest Part	2006
848	336	The Scientist	2002
849	336	Trouble	2000
850	336	Up & Up	2016
851	336	Violet Hill	2008
852	336	Viva La Vida	2008
853	336	Yellow	2000
854	337	A Sky Full Of Stars	2014
855	338	Hymn For The Weekend	2015
856	339	I Don't Believe In Miracles	1972
857	339	Wonderful	1973
858	340	Tap Turns On The Water	1971
859	341	Everybody's Somebody's Fool	1960
860	343	Zwei Kleine Italiener	1962
861	344	Een Roosje M'n Roosje	1974
862	344	Ik Ben Gelukkig Zonder Jou	1966
863	344	Paleis Met Gouden Muren	1966
864	344	Sjakie Van De Hoek	1975
865	342	All The Love In The World	1969
866	345	Gangsta's Paradise	1995
867	346	Bakker De Baksteen	1976
868	346	Veronica	1972
869	347	Huilen Is Voor Jou Te Laat	1970
870	348	La Mamma	1964
871	349	A Long December	1996
872	349	Accidentally In Love	2004
873	349	Mr. Jones	1994
874	349	Round Here	1993
875	350	Holiday In Spain	2004
876	351	I Feel I'm Fixing To Die Rag	1970
877	352	Mmm Mmm Mmm Mmm	1993
878	353	Sunshine Of Your Love	1968
879	353	White Room	1968
880	354	Bad Moon Rising	1969
881	354	Born On The Bayou	1972
882	354	Down On The Corner	1969
883	354	Fortunate Son	1969
884	354	Have You Ever Seen The Rain	1971
885	354	Hey Tonight	1970
