Rendszám	Érkezés	Indulás	Zóna	Tarifa	Időtartam	Díj
TKA-06	8:00:37	9:39:55	3					Rendszám	Darab	Összeg
TKA-03	8:02:13	8:39:44	1					TKA-01
TKA-17	8:05:23	8:43:06	6					TKA-02
TKA-04	8:06:24	9:25:54	2					TKA-03
TKA-02	8:12:28	8:42:46	3					TKA-04
TKA-08	8:19:05	10:15:13	3					TKA-05
TKA-16	8:21:18	8:48:46	3					TKA-06
TKA-11	8:21:34	8:54:37	6					TKA-07
TKA-05	8:25:01	9:18:17	6					TKA-08
TKA-09	8:35:32	9:02:10	5					TKA-09
TKA-03	8:50:14	9:48:27	3					TKA-10
TKA-18	8:51:16	9:37:08	1					TKA-11
TKA-07	9:00:02	10:14:08	4					TKA-12
TKA-10	9:01:13	9:39:55	6					TKA-13
TKA-12	9:05:08	9:58:53	2					TKA-14
TKA-17	9:06:48	10:14:52	5					TKA-15
TKA-01	9:06:54	11:06:33	1					TKA-16
TKA-11	9:17:42	9:31:20	1					TKA-17
TKA-14	9:19:47	11:09:59	5					TKA-18
TKA-16	9:19:55	11:17:55	4					Fizetendő:
TKA-02	9:20:42	10:53:14	4
TKA-13	9:31:05	10:59:22	5					Legmagasabb parkolási díj
TKA-05	9:40:04	10:24:02	3					Rendszám:
TKA-06	9:42:32	10:17:53	5					Összeg:
TKA-15	9:54:29	10:26:11	5
TKA-04	10:00:21	11:55:56	4
TKA-10	10:01:24	10:52:11	3
TKA-17	10:20:00	11:13:14	5
TKA-12	10:20:41	11:16:44	5
TKA-11	10:23:03	10:39:50	3
TKA-18	10:35:33	11:59:43	6
TKA-06	10:41:50	11:16:14	2
TKA-03	10:43:00	10:49:12	4
TKA-15	10:51:17	12:24:35	5
TKA-09	10:55:05	11:55:46	4
TKA-02	11:11:19	12:16:21	2
TKA-03	11:11:52	12:57:27	6
TKA-11	11:14:51	11:39:13	3
TKA-05	11:15:30	12:46:24	1
TKA-17	11:16:12	12:56:35	6
TKA-01	11:19:14	11:26:08	5
TKA-10	11:23:34	12:40:17	1
TKA-08	11:26:40	12:41:08	3
TKA-07	11:30:04	12:52:16	1
TKA-16	11:49:18	12:15:30	3
TKA-11	11:50:42	12:24:35	3
TKA-13	11:56:57	12:25:57	6
TKA-12	12:01:00	12:28:15	5
TKA-04	12:12:26	13:06:03	3
TKA-18	12:12:42	12:27:22	4
TKA-09	12:29:57	12:47:17	3
TKA-06	12:31:59	14:20:30	1
TKA-14	12:34:14	14:06:39	5
TKA-02	12:44:22	13:26:16	2
TKA-12	12:54:00	14:23:59	4
TKA-18	12:56:12	13:10:45	6
TKA-17	13:04:15	13:17:54	2
TKA-09	13:04:20	13:14:20	6
TKA-05	13:07:15	13:57:25	4
TKA-07	13:12:57	14:05:04	2
TKA-11	13:14:37	13:43:57	6
TKA-18	13:22:33	13:53:31	3
TKA-03	13:23:28	14:14:48	3
TKA-17	13:24:22	15:06:57	6
TKA-01	13:25:13	15:23:26	2
TKA-16	13:28:49	15:23:18	1
TKA-15	13:42:48	14:59:20	4
TKA-10	13:46:53	15:03:56	6
TKA-09	13:48:06	15:39:02	4
TKA-04	13:56:47	15:00:42	2
TKA-08	14:07:02	14:35:53	3
TKA-02	14:11:05	15:16:18	3
TKA-18	14:14:43	15:35:45	4
TKA-11	14:19:21	14:22:45	4
TKA-13	14:41:48	14:58:49	5
TKA-06	14:50:00	15:52:15	2
TKA-12	14:52:24	16:13:24	5
TKA-05	15:01:09	16:27:23	3
TKA-11	15:03:55	15:22:31	4
TKA-17	15:12:01	16:18:12	4
TKA-08	15:13:42	16:16:55	6
TKA-07	15:23:44	15:59:20	3
TKA-03	15:30:03	16:24:49	1
TKA-15	15:41:35	17:29:17	2
TKA-01	15:52:45	16:40:07	1
TKA-18	15:56:42	16:44:55	2
TKA-02	16:01:10	16:22:49	3
TKA-06	16:02:22	16:20:01	1
TKA-16	16:09:26	16:58:02	1
TKA-07	16:10:14	17:29:04	4
TKA-09	16:16:48	17:26:04	6
TKA-04	16:17:58	16:59:39	1
