"Dátum"	"Tétel"	"Osztály"	"Típus"	"Tömeg"	"Összeg"
2016-05-02	1	"9.B"	"ú"	91			"Iskolai adatok:"			"i"	"irodai"	23
2016-05-02		"12.D"	"h"	87			"Teljes bevétel"			"h"	"hullám"	15
2016-05-02		"12.B"	"ú"	82						"ú"	"újság"	20
2016-05-02		"11.C"	"ú"	77			"Legtöbb napi tétel"			"v"	"vegyes"	12
2016-05-02		"11.A"	"h"	73			"Legsűrűbb nap"
2016-05-02		"9.C"	"ú"	73
2016-05-02		"10.C"	"i"	66			"Osztály:"	"9.B"
2016-05-02		"10.E"	"i"	47			"Össztömeg:"
2016-05-02		"9.D"	"ú"	45
2016-05-02		"12.B"	"ú"	34
2016-05-02		"9.D"	"v"	33
2016-05-02		"9.A"	"v"	30
2016-05-02		"10.D"	"i"	26
2016-05-03		"10.B"	"i"	123
2016-05-03		"10.D"	"ú"	119
2016-05-03		"12.D"	"h"	100
2016-05-03		"9.B"	"ú"	95
2016-05-03		"12.C"	"h"	94
2016-05-03		"9.B"	"i"	91
2016-05-03		"9.C"	"ú"	90
2016-05-03		"12.D"	"ú"	88
2016-05-03		"9.A"	"ú"	87
2016-05-03		"10.E"	"i"	86
2016-05-03		"11.A"	"i"	82
2016-05-03		"9.A"	"v"	66
2016-05-03		"9.E"	"ú"	63
2016-05-03		"10.D"	"ú"	55
2016-05-03		"11.A"	"i"	30
2016-05-03		"10.E"	"i"	29
2016-05-03		"10.D"	"i"	24
2016-05-03		"10.D"	"ú"	20
2016-05-04		"10.D"	"ú"	231
2016-05-04		"12.E"	"v"	87
2016-05-04		"9.C"	"i"	84
2016-05-04		"9.A"	"h"	76
2016-05-04		"12.A"	"i"	73
2016-05-04		"12.C"	"v"	72
2016-05-04		"10.C"	"h"	60
2016-05-04		"9.C"	"v"	56
2016-05-04		"9.B"	"v"	55
2016-05-04		"10.E"	"ú"	45
2016-05-04		"9.C"	"v"	44
2016-05-04		"11.D"	"ú"	42
2016-05-04		"10.B"	"ú"	42
2016-05-04		"12.C"	"v"	40
2016-05-04		"9.D"	"ú"	38
2016-05-04		"9.C"	"ú"	38
2016-05-04		"9.A"	"ú"	37
2016-05-04		"12.D"	"v"	35
2016-05-04		"12.A"	"v"	34
2016-05-04		"11.E"	"i"	31
2016-05-04		"11.A"	"v"	23
2016-05-04		"11.C"	"ú"	21
2016-05-05		"12.A"	"ú"	97
2016-05-05		"12.E"	"i"	91
2016-05-05		"12.E"	"ú"	90
2016-05-05		"11.C"	"ú"	74
2016-05-05		"9.E"	"v"	70
2016-05-05		"10.E"	"i"	66
2016-05-05		"12.A"	"ú"	61
2016-05-05		"10.D"	"ú"	58
2016-05-05		"12.A"	"h"	48
2016-05-05		"11.B"	"ú"	48
2016-05-05		"11.C"	"h"	44
2016-05-05		"11.A"	"v"	38
2016-05-05		"9.E"	"ú"	35
2016-05-05		"11.B"	"v"	26
2016-05-05		"10.B"	"ú"	25
2016-05-05		"9.C"	"ú"	20
2016-05-06		"11.C"	"i"	95
2016-05-06		"10.C"	"i"	77
2016-05-06		"9.A"	"ú"	74
2016-05-06		"12.C"	"v"	68
2016-05-06		"9.C"	"h"	62
2016-05-06		"11.B"	"i"	57
2016-05-06		"9.C"	"ú"	50
2016-05-06		"10.E"	"v"	49
2016-05-06		"9.E"	"i"	21
2016-05-06		"12.E"	"ú"	20
2016-05-09		"10.C"	"i"	96
2016-05-09		"10.B"	"h"	86
2016-05-09		"10.E"	"v"	86
2016-05-09		"9.E"	"i"	79
2016-05-09		"12.B"	"i"	73
2016-05-09		"10.D"	"ú"	72
2016-05-09		"11.E"	"i"	71
2016-05-09		"12.E"	"ú"	69
2016-05-09		"11.E"	"ú"	66
2016-05-09		"12.E"	"ú"	65
2016-05-09		"9.D"	"ú"	63
2016-05-09		"10.E"	"i"	58
2016-05-09		"11.C"	"v"	55
2016-05-09		"12.B"	"ú"	50
2016-05-09		"12.D"	"v"	32
2016-05-10		"10.A"	"i"	96
2016-05-10		"12.B"	"i"	95
2016-05-10		"11.B"	"v"	95
2016-05-10		"10.A"	"ú"	90
2016-05-10		"9.A"	"v"	89
2016-05-10		"11.E"	"ú"	89
2016-05-10		"9.B"	"v"	88
2016-05-10		"10.B"	"v"	80
