Dátum	Nap	Kód	Összeg	Nyeremény	Időkeret	Határidő
2019.02.01		A160310	4672
2019.02.01		L195881	8942
2019.02.01		K180553	5460
2019.02.01		F194162	12964
2019.02.01		C149852	13858
2019.02.01		A134547	14983
2019.02.01		G168140	5607
2019.02.02		P114074	7638
2019.02.02		M147266	2884
2019.02.02		P121212	4283
2019.02.02		A112522	11191
2019.02.02		K126527	5659
2019.02.02		F157918	4759
2019.02.02		F142095	8971
2019.02.02		H155594	11768
2019.02.02		C103486	4811
2019.02.03		B184153	9854
2019.02.03		G101199	11073
2019.02.03		K132129	4947
2019.02.04		M165185	13361
2019.02.04		O168414	14932
2019.02.04		F183169	16772
2019.02.05		A184802	16134
2019.02.05		G192721	3199
2019.02.05		L180036	14543
2019.02.06		J172717	8234
2019.02.06		O182301	19259
2019.02.06		A179924	6183
2019.02.06		J174118	13192
2019.02.07		L145952	12365
2019.02.07		L196177	11198
2019.02.07		N171513	11336
2019.02.07		F176390	13555
2019.02.07		G161318	11394
2019.02.07		N127156	18818
2019.02.07		L153470	11819
2019.02.07		M142432	13185
2019.02.08		N170996	19559
2019.02.08		F142528	8767
2019.02.08		K160307	16565
2019.02.08		F164260	16835
2019.02.08		H105660	2065
2019.02.08		C194758	2330
2019.02.09		E196807	2298
2019.02.09		O144216	19617
2019.02.09		G174906	12219
2019.02.09		H156762	19357
2019.02.09		A146053	8795
2019.02.09		P152228	8654
2019.02.09		P180367	12966
2019.02.09		B144934	18205
2019.02.10		N151995	7800
2019.02.10		F137049	7140
2019.02.10		F147710	16189
2019.02.11		D175625	4590
2019.02.11		E146175	18743
2019.02.11		H181671	15453
2019.02.12		C198579	4362
2019.02.12		G132306	11719
2019.02.12		I128508	6347
2019.02.12		H140917	7331
2019.02.13		H122840	16411
2019.02.13		J178906	15437
2019.02.13		G135366	3172
2019.02.14		I195297	7419
2019.02.14		G181856	17421
2019.02.14		A163199	17315
2019.02.14		O190464	10513
2019.02.14		F102287	15098
2019.02.14		C127670	10155
2019.02.14		G118359	7836
2019.02.15		A117631	8150
2019.02.15		H145340	10477
2019.02.15		A145026	3147
2019.02.15		M169005	6562
2019.02.15		P159044	11767
2019.02.15		J166722	2779
2019.02.15		A163241	5892
2019.02.15		E148425	14927
2019.02.15		F127774	19234
2019.02.15		B164829	9105
2019.02.16		I153493	5758
2019.02.16		G192769	7045
2019.02.16		G187069	4034
2019.02.16		J179774	2262
2019.02.16		P190821	18156
2019.02.16		A120758	8168
2019.02.17		H144162	7975
2019.02.17		J139666	15592
2019.02.17		P180265	4025
2019.02.17		G187380	19558
2019.02.18		H122038	18580
2019.02.18		L123887	9116
2019.02.18		N184198	13032
2019.02.19		A186910	5210
2019.02.19		E190424	10218
2019.02.19		J121130	19926
2019.02.19		O131182	3635
2019.02.19		N145246	19505
2019.02.20		A171609	5786
2019.02.20		M103623	16401
2019.02.20		L170507	17291
2019.02.21		G156686	5588
2019.02.21		J180475	11004
2019.02.21		A163091	14602
2019.02.21		C109779	2414
2019.02.21		B189859	7069
2019.02.21		N124722	14838
2019.02.22		G131011	7867
2019.02.22		O188668	12018
2019.02.22		G141573	17170
2019.02.22		F164853	18238
2019.02.22		B141081	5407
2019.02.22		O100740	11242
2019.02.22		N193066	4176
2019.02.22		G154185	16648
2019.02.22		B133744	4127
2019.02.23		O192390	12641
2019.02.23		M177616	17611
2019.02.23		C113024	13559
2019.02.23		D117905	5252
2019.02.23		C139539	4789
2019.02.24		M174461	4593
2019.02.24		D154561	12618
2019.02.24		O143682	15556
2019.02.24		D196096	13692
2019.02.25		B146314	19479
2019.02.25		I163845	16611
2019.02.25		H190918	8697
2019.02.25		I190596	11906
2019.02.25		B182896	3769
2019.02.26		B123008	8814
2019.02.26		M105931	6549
2019.02.26		H155593	8144
2019.02.26		J178829	6075
2019.02.27		P130220	7743
2019.02.27		E104962	7958
2019.02.27		F194956	16480
2019.02.27		A188416	5518
2019.02.27		P112429	4796
2019.02.27		L129064	6566
2019.02.28		K184318	2284
2019.02.28		C169026	18633
2019.02.28		P125684	15303
2019.02.28		A135399	12920
2019.02.28		J173872	19900
2019.02.28		H106176	17508
2019.02.28		D119235	12292
